127.0.0.1 - - [13/Nov/2019:15:21:59 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "POST /cms/console/?0-1.IFormSubmitListener-root-login~panel-login~form&path=/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "GET /cms/console/?0&path=/ HTTP/1.1" 200 10302
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "GET /cms/console/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1573654808780.js HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "GET /cms/console/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1573654808780.js HTTP/1.1" 200 97097
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "GET /cms/console/wicket/resource/org.apache.wicket.extensions.ajax.markup.html.modal.ModalWindow/res/modal-ver-1573654809051.css HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:09 +0100] "GET /cms/skin/hippo-cms/css/br-login-theme.min.css?antiCache=jvbod8WMKNyv-UehK38joA__ HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.hippoecm.frontend.HippoHeaderItem/js/global-ver-1573654808836.js HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.hippoecm.frontend.plugins.login.LoginHeaderItem/login-init-ver-1573654808972.js HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.hippoecm.frontend.plugins.login.LoginPanel/PreventResubmit-ver-1573654808972.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1573654808780.js HTTP/1.1" 200 43481
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.apache.wicket.extensions.ajax.markup.html.modal.ModalWindow/res/modal-ver-1573654809051.js HTTP/1.1" 200 23346
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:22:10 +0100] "GET /cms/console/wicket/resource/org.hippoecm.frontend.dialog.DialogWindow/hippo-modal-ver-1573654808836.js HTTP/1.1" 200 9912
